round,client_id,loss,rmse,r2,mae,mape,model_type
1,5,0.027916064485907555,131.15859516645526,-0.10044319720614342,116.32026852166385,887978.0934976633,client
1,3,0.041546519845724106,155.11435125003374,-0.09045722572368066,120.35566187872118,78.92883327037895,client
1,8,0.017505329102277756,102.53847056105492,-0.06985693950479432,80.85112384828122,42.88409793141209,client
1,10,0.04451826587319374,147.06248222579023,-0.022473127156668455,135.35961371734362,45977112.75555529,client
1,2,0.03038545325398445,131.60724983111263,-0.11878614537483294,114.20434231400519,75507949.72445951,client
1,6,0.01720636896789074,86.57421121913015,-0.08367913498750434,72.37336838311262,50.777941084325164,client
1,7,0.025737345218658447,96.57803590151664,-0.41701650310027283,83.37275328302078,52.01090442234623,client
1,9,0.027369152754545212,143.10235710336903,-0.0023784607156540996,122.22361238508493,391292.1815753151,client
1,1,0.020175810903310776,162.92169378161427,-0.11672313733679275,145.14031050864838,162.5342394579278,client
1,4,0.01570291444659233,110.27391945712252,-0.06556861309058665,89.29953616054539,41.10441848491528,client
1,global,0.026806322485208513,126.69313664971992,-0.10873824841969304,107.95005910004272,12276476.099552242,global
